Fri Jan 10 15:49:34 2014    profiling/game.run.profile

         8844407 function calls (8839797 primitive calls) in 26.332 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.008    0.002 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:173(_is_writable_dir)
      162    0.000    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:162(get_transform)
      916    0.002    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1454(__init__)
      308    0.001    0.000    0.008    0.000 code/objInstances.py:201(__init__)
      937    0.004    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:99(invalidate)
      470    0.000    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1045(__add__)
      494    0.002    0.000    0.007    0.000 code/objInstances.py:91(update)
      219    0.001    0.000    0.007    0.000 /usr/lib/python2.7/sre_compile.py:178(_compile_charset)
    12804    0.007    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:664(__getitem__)
       11    0.001    0.000    0.007    0.001 /usr/lib/pymodules/python2.7/matplotlib/artist.py:929(pprint_setters)
      470    0.001    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2004(composite_transform_factory)
      168    0.001    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:583(_set_tickup)
    15899    0.007    0.000    0.007    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:284(remove_internal)
        4    0.000    0.000    0.007    0.002 /usr/lib/python2.7/tempfile.py:464(TemporaryFile)
      219    0.005    0.000    0.007    0.000 /usr/lib/python2.7/sre_compile.py:207(_optimize_charset)
      168    0.001    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:589(_set_tickdown)
     8408    0.005    0.000    0.006    0.000 code/objInstances.py:381(handleCollisionWith)
        1    0.000    0.000    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:1327(findfont)
        1    0.001    0.001    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:1147(findfont)
        1    0.000    0.000    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/scale.py:1(<module>)
      387    0.001    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:702(__init__)
       84    0.001    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:478(_get_text1)
    18983    0.006    0.000    0.006    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:281(add_internal)
      154    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:546(get_patch_transform)
      154    0.001    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:533(_update_patch_transform)
      525    0.002    0.000    0.006    0.000 code/geometry.py:9(getCoordsNearLoc)
       61    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2240(get_transformed_points_and_affine)
        2    0.000    0.000    0.006    0.003 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:560(matplotlib_fname)
       62    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2230(_revalidate)
     1717    0.002    0.000    0.006    0.000 code/objInstances.py:26(update)
       66    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:338(_get_text1)
       61    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:94(draw_markers)
        1    0.001    0.001    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:29(<module>)
        1    0.001    0.001    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/ticker.py:124(<module>)
     3044    0.006    0.000    0.006    0.000 code/ship.py:488(updateHealthBar)
        2    0.000    0.000    0.006    0.003 {__import__}
       66    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:357(_get_text2)
    18983    0.006    0.000    0.006    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:290(has_internal)
     3538    0.005    0.000    0.006    0.000 code/physicalObject.py:263(approachSpeed)
        1    0.000    0.000    0.005    0.005 /usr/lib/pymodules/python2.7/matplotlib/backends/__init__.py:14(pylab_setup)
       61    0.005    0.000    0.005    0.000 {built-in method draw_markers}
        1    0.000    0.000    0.005    0.005 /usr/lib/python2.7/xml/sax/saxutils.py:4(<module>)
