Fri Jan 10 15:43:55 2014    profiling/game.run.profile

         8189053 function calls (8184595 primitive calls) in 25.530 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   203/57    0.001    0.000    0.014    0.000 /usr/lib/python2.7/sre_parse.py:301(_parse_sub)
   298/62    0.005    0.000    0.014    0.000 /usr/lib/python2.7/sre_parse.py:379(_parse)
      196    0.003    0.000    0.013    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:386(recache)
        1    0.000    0.000    0.013    0.013 /usr/lib/python2.7/tokenize.py:23(<module>)
     4424    0.007    0.000    0.013    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:80(__init__)
     3528    0.003    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1321(__init__)
   570/57    0.003    0.000    0.012    0.000 /usr/lib/python2.7/sre_compile.py:32(_compile)
       60    0.001    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:173(get_text_width_height_descent)
       10    0.000    0.000    0.012    0.001 /usr/lib/python2.7/lib-tk/Tkinter.py:1986(__init__)
     2960    0.005    0.000    0.012    0.000 code/objInstances.py:425(update)
       29    0.000    0.000    0.012    0.000 {map}
      125    0.000    0.000    0.012    0.000 code/objInstances.py:363(__init__)
        1    0.000    0.000    0.012    0.012 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:379(__init__)
        1    0.000    0.000    0.012    0.012 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:656(__init__)
        1    0.000    0.000    0.012    0.012 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:2397(__init__)
        1    0.000    0.000    0.012    0.012 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:700(_init_toolbar)
     1505    0.012    0.000    0.012    0.000 {pygame.event.get}
    37303    0.011    0.000    0.011    0.000 {isinstance}
        7    0.000    0.000    0.011    0.002 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:691(_Button)
     3044    0.008    0.000    0.011    0.000 code/ship.py:329(cooldown)
        1    0.010    0.010    0.011    0.011 /usr/lib/python2.7/subprocess.py:389(<module>)
     3044    0.004    0.000    0.010    0.000 code/physicalObject.py:530(setLeadIndicator)
        7    0.000    0.000    0.010    0.001 /usr/lib/python2.7/lib-tk/Tkinter.py:2052(__init__)
       11    0.000    0.000    0.010    0.001 /usr/lib/pymodules/python2.7/matplotlib/artist.py:1212(kwdoc)
       90    0.001    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:224(_get_agg_font)
     2327    0.010    0.000    0.010    0.000 {method 'all' of 'numpy.ndarray' objects}
      144    0.000    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:647(get_path)
   111747    0.010    0.000    0.010    0.000 {method 'random' of '_random.Random' objects}
    23296    0.010    0.000    0.010    0.000 {min}
      298    0.010    0.000    0.010    0.000 {method 'convert' of 'pygame.Surface' objects}
        4    0.000    0.000    0.010    0.002 /usr/lib/pymodules/python2.7/matplotlib/axis.py:608(__init__)
101989/100832    0.009    0.000    0.010    0.000 {len}
        1    0.001    0.001    0.009    0.009 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:21(<module>)
      154    0.000    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:162(get_transform)
        1    0.001    0.001    0.009    0.009 /usr/lib/pymodules/python2.7/matplotlib/text.py:3(<module>)
     17/9    0.000    0.000    0.009    0.001 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:252(wrapper)
        4    0.000    0.000    0.009    0.002 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:454(_get_configdir)
      208    0.001    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:576(_set_tickright)
      308    0.001    0.000    0.008    0.000 code/objInstances.py:201(__init__)
       30    0.000    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:149(draw_text)
      208    0.001    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:570(_set_tickleft)
        4    0.000    0.000    0.008    0.002 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:173(_is_writable_dir)
      494    0.002    0.000    0.008    0.000 code/objInstances.py:91(update)
      219    0.001    0.000    0.008    0.000 /usr/lib/python2.7/sre_compile.py:178(_compile_charset)
      840    0.001    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1454(__init__)
    15918    0.007    0.000    0.007    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:284(remove_internal)
    12028    0.007    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:664(__getitem__)
      861    0.003    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:99(invalidate)
        4    0.000    0.000    0.007    0.002 /usr/lib/pymodules/python2.7/matplotlib/axis.py:923(_update_ticks)
      219    0.005    0.000    0.007    0.000 /usr/lib/python2.7/sre_compile.py:207(_optimize_charset)
      168    0.001    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:583(_set_tickup)
       11    0.001    0.000    0.007    0.001 /usr/lib/pymodules/python2.7/matplotlib/artist.py:929(pprint_setters)
        1    0.000    0.000    0.007    0.007 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:1327(findfont)
        1    0.001    0.001    0.007    0.007 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:1147(findfont)
      363    0.001    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:702(__init__)
       30    0.000    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:874(iter_ticks)
      168    0.001    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:589(_set_tickdown)
        4    0.000    0.000    0.006    0.002 /usr/lib/python2.7/tempfile.py:464(TemporaryFile)
    18979    0.006    0.000    0.006    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:290(has_internal)
     1798    0.002    0.000    0.006    0.000 code/objInstances.py:26(update)
      446    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1045(__add__)
     8240    0.005    0.000    0.006    0.000 code/objInstances.py:381(handleCollisionWith)
        1    0.000    0.000    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/scale.py:1(<module>)
      525    0.002    0.000    0.006    0.000 code/geometry.py:9(getCoordsNearLoc)
     4491    0.006    0.000    0.006    0.000 /usr/lib/python2.7/weakref.py:243(__init__)
        2    0.000    0.000    0.006    0.003 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:560(matplotlib_fname)
    18979    0.006    0.000    0.006    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:281(add_internal)
      446    0.001    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2004(composite_transform_factory)
        2    0.000    0.000    0.006    0.003 {__import__}
    11076    0.006    0.000    0.006    0.000 {math.atan2}
        1    0.000    0.000    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/backends/__init__.py:14(pylab_setup)
        1    0.001    0.001    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/ticker.py:124(<module>)
        1    0.001    0.001    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:29(<module>)
      146    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:546(get_patch_transform)
     3538    0.005    0.000    0.006    0.000 code/physicalObject.py:263(approachSpeed)
     3044    0.006    0.000    0.006    0.000 code/ship.py:488(updateHealthBar)
      146    0.001    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:533(_update_patch_transform)
        1    0.000    0.000    0.006    0.006 /usr/lib/python2.7/xml/sax/saxutils.py:4(<module>)
        1    0.000    0.000    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:930(pickle_load)
       76    0.001    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:478(_get_text1)
        1    0.001    0.001    0.005    0.005 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:3(<module>)
        1    0.000    0.000    0.005    0.005 /usr/lib/pymodules/python2.7/matplotlib/collections.py:10(<module>)
       53    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:94(draw_markers)
       76    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:494(_get_text2)
       53    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2240(get_transformed_points_and_affine)
       54    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2230(_revalidate)
       53    0.005    0.000    0.005    0.000 {built-in method draw_markers}
        1    0.001    0.001    0.005    0.005 /usr/lib/python2.7/urllib.py:23(<module>)
      296    0.002    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:152(__init__)
       66    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:338(_get_text1)
       14    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing.py:1705(__init__)
        1    0.001    0.001    0.005    0.005 /usr/lib/python2.7/decimal.py:116(<module>)
        1    0.005    0.005    0.005    0.005 {cPickle.load}
      187    0.001    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:747(from_extents)
      179    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:737(from_bounds)
      388    0.002    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:643(__init__)
    18979    0.005    0.000    0.005    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:146(add_internal)
        5    0.000    0.000    0.004    0.001 /usr/lib/pymodules/python2.7/matplotlib/figure.py:303(_set_dpi)
    22268    0.004    0.000    0.004    0.000 {max}
       66    0.000    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:357(_get_text2)
        1    0.000    0.000    0.004    0.004 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:689(rc_params)
       30    0.004    0.000    0.004    0.000 {built-in method draw_text_image}
      791    0.003    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/numpy/core/numeric.py:1830(identity)
