Tue Jan 14 15:00:07 2014    profiling/game.run.profile

         9249270 function calls (9244660 primitive calls) in 26.331 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.001    0.000    0.015    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:514(draw)
       57    0.000    0.000    0.015    0.000 /usr/lib/python2.7/sre_compile.py:480(_code)
      212    0.003    0.000    0.014    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:386(recache)
       10    0.000    0.000    0.014    0.001 /usr/lib/python2.7/lib-tk/Tkinter.py:1986(__init__)
        1    0.000    0.000    0.014    0.014 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:379(__init__)
       57    0.000    0.000    0.014    0.000 /usr/lib/python2.7/sre_parse.py:663(parse)
        1    0.000    0.000    0.014    0.014 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:689(rc_params)
        1    0.000    0.000    0.014    0.014 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:656(__init__)
        1    0.000    0.000    0.014    0.014 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:2397(__init__)
        1    0.000    0.000    0.014    0.014 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:700(_init_toolbar)
        4    0.000    0.000    0.013    0.003 /usr/lib/python2.7/tempfile.py:226(_mkstemp_inner)
        7    0.000    0.000    0.013    0.002 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:691(_Button)
   203/57    0.001    0.000    0.013    0.000 /usr/lib/python2.7/sre_parse.py:301(_parse_sub)
      150    0.001    0.000    0.013    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:467(set_clip_path)
   298/62    0.005    0.000    0.013    0.000 /usr/lib/python2.7/sre_parse.py:379(_parse)
        4    0.000    0.000    0.013    0.003 /usr/lib/pymodules/python2.7/matplotlib/axis.py:923(_update_ticks)
        1    0.000    0.000    0.013    0.013 /usr/lib/python2.7/tokenize.py:23(<module>)
       70    0.000    0.000    0.013    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:167(set_clip_path)
        7    0.000    0.000    0.013    0.002 /usr/lib/python2.7/lib-tk/Tkinter.py:2052(__init__)
       68    0.001    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:173(get_text_width_height_descent)
       34    0.000    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:874(iter_ticks)
    18716    0.012    0.000    0.012    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:112(__init__)
       29    0.000    0.000    0.012    0.000 {map}
     1763    0.003    0.000    0.012    0.000 code/ship.py:318(shoot)
     4732    0.005    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:80(__init__)
   570/57    0.003    0.000    0.012    0.000 /usr/lib/python2.7/sre_compile.py:32(_compile)
     3780    0.003    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1321(__init__)
     3010    0.005    0.000    0.012    0.000 code/objInstances.py:421(update)
   156921    0.011    0.000    0.011    0.000 {abs}
     1505    0.011    0.000    0.011    0.000 {pygame.event.get}
     3261    0.004    0.000    0.011    0.000 code/physicalObject.py:584(setLeadIndicator)
     3261    0.008    0.000    0.011    0.000 code/ship.py:338(cooldown)
      530    0.001    0.000    0.011    0.000 code/objInstances.py:91(update)
   152840    0.011    0.000    0.011    0.000 {math.degrees}
     2503    0.011    0.000    0.011    0.000 {method 'all' of 'numpy.ndarray' objects}
       11    0.000    0.000    0.011    0.001 /usr/lib/pymodules/python2.7/matplotlib/artist.py:1212(kwdoc)
      102    0.001    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:224(_get_agg_font)
      101    0.000    0.000    0.010    0.000 code/objInstances.py:359(__init__)
      152    0.000    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:647(get_path)
        4    0.010    0.002    0.010    0.003 /usr/lib/python2.7/tempfile.py:134(next)
      240    0.001    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:576(_set_tickright)
      250    0.010    0.000    0.010    0.000 {method 'convert' of 'pygame.Surface' objects}
   111553    0.010    0.000    0.010    0.000 {method 'random' of '_random.Random' objects}
        4    0.000    0.000    0.009    0.002 /usr/lib/pymodules/python2.7/matplotlib/axis.py:608(__init__)
      240    0.001    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:570(_set_tickleft)
97448/96215    0.009    0.000    0.009    0.000 {len}
        1    0.001    0.001    0.009    0.009 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:21(<module>)
       34    0.000    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:149(draw_text)
        1    0.001    0.001    0.009    0.009 /usr/lib/pymodules/python2.7/matplotlib/text.py:3(<module>)
      308    0.001    0.000    0.008    0.000 code/objInstances.py:197(__init__)
      162    0.000    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:162(get_transform)
      916    0.001    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1454(__init__)
      219    0.001    0.000    0.008    0.000 /usr/lib/python2.7/sre_compile.py:178(_compile_charset)
    12804    0.008    0.000    0.008    0.000 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:664(__getitem__)
      937    0.004    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:99(invalidate)
      470    0.000    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1045(__add__)
       11    0.001    0.000    0.007    0.001 /usr/lib/pymodules/python2.7/matplotlib/artist.py:929(pprint_setters)
    15810    0.007    0.000    0.007    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:284(remove_internal)
      219    0.005    0.000    0.007    0.000 /usr/lib/python2.7/sre_compile.py:207(_optimize_charset)
      470    0.001    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2004(composite_transform_factory)
      168    0.001    0.000    0.007    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:583(_set_tickup)
     3261    0.007    0.000    0.007    0.000 code/ship.py:511(updateHealthBar)
        1    0.000    0.000    0.007    0.007 /usr/lib/pymodules/python2.7/matplotlib/collections.py:10(<module>)
      168    0.001    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:589(_set_tickdown)
     4799    0.006    0.000    0.006    0.000 /usr/lib/python2.7/weakref.py:243(__init__)
        1    0.000    0.000    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:1327(findfont)
        1    0.001    0.001    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:1147(findfont)
        1    0.000    0.000    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/scale.py:1(<module>)
       84    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:478(_get_text1)
    18894    0.006    0.000    0.006    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:281(add_internal)
      525    0.002    0.000    0.006    0.000 code/geometry.py:9(getCoordsNearLoc)
       61    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2240(get_transformed_points_and_affine)
       62    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:2230(_revalidate)
      387    0.001    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:702(__init__)
      154    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:546(get_patch_transform)
