         44911 function calls (44479 primitive calls) in 4.225 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1312(get_resource_stream)
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
      124    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       74    0.000    0.000    0.000    0.000 pkg_resources.py:1521(__init__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:424(Thread)
       40    0.000    0.000    0.000    0.000 pkg_resources.py:1573(__init__)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
       17    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       55    0.000    0.000    0.000    0.000 utils.py:93(_set_function_name)
        1    0.000    0.000    0.000    0.000 defmatrix.py:195(matrix)
       27    0.000    0.000    0.000    0.000 {issubclass}
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1178(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:385(set)
        1    0.000    0.000    0.000    0.000 os.py:470(__setitem__)
       59    0.000    0.000    0.000    0.000 {imp.release_lock}
        3    0.000    0.000    0.000    0.000 {posix.getcwd}
        1    0.000    0.000    0.000    0.000 {math.exp}
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:25(OrderedDict)
       21    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
       25    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       30    0.000    0.000    0.000    0.000 pkg_resources.py:2636(cls)
       39    0.000    0.000    0.000    0.000 pkgutil.py:173(__init__)
        9    0.000    0.000    0.000    0.000 core.py:2430(getdoc)
        2    0.000    0.000    0.000    0.000 getlimits.py:259(max)
        1    0.000    0.000    0.000    0.000 {posix.uname}
       10    0.000    0.000    0.000    0.000 sprite.py:112(__init__)
        1    0.000    0.000    0.000    0.000 {posix.putenv}
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
       16    0.000    0.000    0.000    0.000 {hasattr}
       15    0.000    0.000    0.000    0.000 sre_compile.py:51(fixup)
        1    0.000    0.000    0.000    0.000 log.py:1(<module>)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.000    0.000 financial.py:8(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:2422(_setdef)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:57(_declare_state)
       37    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
       81    0.000    0.000    0.000    0.000 {globals}
        2    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
       50    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
       23    0.000    0.000    0.000    0.000 {sys._getframe}
       67    0.000    0.000    0.000    0.000 posixpath.py:51(normcase)
       40    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
       40    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 {_ctypes.dlopen}
       21    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 core.py:5690(MaskedConstant)
        2    0.000    0.000    0.000    0.000 numeric.py:1381(set_string_function)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1497(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:884(ResourceManager)
       30    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    0.000    0.000 urlparse.py:71(ResultMixin)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1171(NullProvider)
        1    0.000    0.000    0.000    0.000 _iotools.py:231(NameValidator)
       52    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
       10    0.000    0.000    0.000    0.000 pkgutil.py:237(__init__)
